user_id,game_name,activity,hours_played_if_play
218323237,Dota 2,purchase,1
218323237,Dota 2,play,14.8
218323237,Tomb Raider,purchase,1
218323237,Tomb Raider,play,8.8
218323237,TERA,purchase,1
218323237,TERA,play,0.9
126340495,Dota 2,purchase,1
126340495,Dota 2,play,1784
126340495,Counter-Strike Global Offensive,purchase,1
126340495,Counter-Strike Global Offensive,play,626
126340495,Counter-Strike Source,purchase,1
126340495,Counter-Strike Source,play,176
126340495,Rust,purchase,1
126340495,Rust,play,69
126340495,Saints Row IV,purchase,1
126340495,Saints Row IV,play,48
126340495,Team Fortress 2,purchase,1
126340495,Team Fortress 2,play,16.1
126340495,Dead Island Riptide,purchase,1
126340495,Dead Island Riptide,play,13.6
126340495,Flatout 3,purchase,1
126340495,Flatout 3,play,11.7
126340495,Garry's Mod,purchase,1
126340495,Garry's Mod,play,10.2
126340495,Counter-Strike Nexon Zombies,purchase,1
126340495,Counter-Strike Nexon Zombies,play,5.8
126340495,Outlast,purchase,1
126340495,Outlast,play,4.1
126340495,Robocraft,purchase,1
126340495,Robocraft,play,2.3
126340495,Far Cry 3,purchase,1
126340495,Far Cry 3,play,2.2
126340495,Everlasting Summer,purchase,1
126340495,Everlasting Summer,play,0.6
126340495,Dead Island Epidemic,purchase,1
126340495,Dead Island Epidemic,play,0.6
126340495,War Thunder,purchase,1
126340495,War Thunder,play,0.4
126340495,DCS World,purchase,1
126340495,DCS World,play,0.3
126340495,Fishing Planet,purchase,1
126340495,Cannons Lasers Rockets,purchase,1
126340495,Dragon Nest Europe,purchase,1
126340495,Loadout,purchase,1
126340495,Neverwinter,purchase,1
126340495,No More Room in Hell,purchase,1
126340495,Nosgoth,purchase,1
126340495,RIFT,purchase,1
126340495,Tactical Intervention,purchase,1
126340495,Unturned,purchase,1
126340495,Warframe,purchase,1
126340495,Zombies Monsters Robots,purchase,1
173909336,America's Army Proving Grounds,purchase,1
173909336,America's Army Proving Grounds,play,1118
173909336,Tom Clancy's Ghost Recon Phantoms - NA,purchase,1
173909336,Tom Clancy's Ghost Recon Phantoms - NA,play,17.2
173909336,APB Reloaded,purchase,1
173909336,APB Reloaded,play,5.9
173909336,America's Army 3,purchase,1
173909336,War Inc. Battlezone,purchase,1
144004384,Dota 2,purchase,1
144004384,Dota 2,play,22
222277839,Dota 2,purchase,1
222277839,Dota 2,play,86
211277578,The Way of Life Free Edition,purchase,1
180596443,PAYDAY The Heist,purchase,1
180596443,PAYDAY The Heist,play,8.8
180596443,Pixel Puzzles Japan,purchase,1
180596443,Pixel Puzzles Japan,play,8.8
180596443,Afterfall InSanity Extended Edition,purchase,1
180596443,Afterfall InSanity Extended Edition,play,data suppressed
180596443,Marvel Heroes 2015,purchase,data suppressed
180596443,Marvel Heroes 2015,play,1.5
180596443,Anomaly Warzone Earth,purchase,1
180596443,Anomaly Warzone Earth,play,1.2
180596443,Woodle Tree Adventures,purchase,1
180596443,Woodle Tree Adventures,play,0.8
180596443,Deadbreed,purchase,data suppressed
180596443,Nosgoth,purchase,1
133262375,Dota 2,purchase,1
133262375,Dota 2,play,290
116407650,Dishonored (RU),purchase,1
168031436,Fallout New Vegas,purchase,1
168031436,Fallout New Vegas,play,60
168031436,The Elder Scrolls V Skyrim,purchase,1
168031436,The Elder Scrolls V Skyrim,play,14.1
168031436,Saints Row The Third,purchase,1
168031436,Saints Row The Third,play,12.5
168031436,Tom Clancy's Ghost Recon Phantoms - NA,purchase,1
168031436,Tom Clancy's Ghost Recon Phantoms - NA,play,9
168031436,Fallout 3 - Game of the Year Edition,purchase,1
168031436,Fallout 3 - Game of the Year Edition,play,7.3
168031436,Garry's Mod,purchase,1
168031436,Garry's Mod,play,4.8
168031436,Fable - The Lost Chapters,purchase,1
168031436,Fable - The Lost Chapters,play,3.2
168031436,Metro 2033,purchase,1
168031436,Metro 2033,play,3
168031436,Sang-Froid - Tales of Werewolves,purchase,1
168031436,Sang-Froid - Tales of Werewolves,play,0.7
168031436,The Elder Scrolls III Morrowind,purchase,1
168031436,The Elder Scrolls III Morrowind,play,0.5
168031436,Spiral Knights,purchase,1
168031436,Spiral Knights,play,0.5
168031436,Grand Theft Auto San Andreas,purchase,1
168031436,Grand Theft Auto San Andreas,play,0.5
168031436,Fallout,purchase,1
168031436,Fallout,play,0.4
168031436,Rust,purchase,1
168031436,Rust,play,0.4
168031436,Thief Gold,purchase,1
168031436,Thief Gold,play,0.4
168031436,Thief Deadly Shadows,purchase,1
168031436,Thief Deadly Shadows,play,0.3
168031436,Empire Total War,purchase,1
168031436,Ascend Hand of Kul,purchase,1
168031436,Fallout New Vegas Courier's Stash,purchase,1
168031436,Fallout New Vegas Dead Money,purchase,1
168031436,Fallout New Vegas Honest Hearts,purchase,1
168031436,Grand Theft Auto San Andreas,purchase,1
168031436,Half-Life 2,purchase,1
168031436,Half-Life 2 Episode One,purchase,1
168031436,Half-Life 2 Episode Two,purchase,1
168031436,Half-Life 2 Lost Coast,purchase,1
168031436,Path of Exile,purchase,1
168031436,Portal,purchase,1
168031436,The Elder Scrolls V Skyrim - Dawnguard,purchase,1
168031436,The Elder Scrolls V Skyrim - Dragonborn,purchase,1
168031436,The Elder Scrolls V Skyrim - Hearthfire,purchase,1
168031436,Thief 2,purchase,1
124777563,Team Fortress 2,purchase,1
124777563,Team Fortress 2,play,2.1
124777563,Unturned,purchase,1
169337011,HAWKEN,purchase,1
169337011,HAWKEN,play,0.4
29835809,Counter-Strike Source,purchase,1
29835809,Counter-Strike Source,play,7.3
29835809,Day of Defeat Source,purchase,1
29835809,Half-Life 2 Deathmatch,purchase,1
29835809,Half-Life 2 Lost Coast,purchase,1
157397663,Dota 2,purchase,1
157397663,Dota 2,play,0.9
14433556,Counter-Strike Source,purchase,1
14433556,Half-Life 2,purchase,1
14433556,Half-Life 2 Deathmatch,purchase,1
14433556,Half-Life 2 Lost Coast,purchase,1
62654923,Call of Duty Modern Warfare 3 - Multiplayer,purchase,1
62654923,Call of Duty Modern Warfare 3 - Multiplayer,play,191
62654923,Call of Duty Black Ops,purchase,1
62654923,Call of Duty Black Ops,play,154
62654923,Call of Duty Modern Warfare 2,purchase,1
62654923,Call of Duty Modern Warfare 2,play,100
62654923,Call of Duty Modern Warfare 3,purchase,1
62654923,Call of Duty Modern Warfare 3,play,65
62654923,Call of Duty Black Ops - Multiplayer,purchase,1
62654923,Call of Duty Black Ops - Multiplayer,play,64
62654923,Call of Duty Advanced Warfare,purchase,1
62654923,Call of Duty Advanced Warfare,play,12.8
62654923,Star Wars The Force Unleashed Ultimate Sith Edition,purchase,1
62654923,Star Wars The Force Unleashed Ultimate Sith Edition,play,9.7
62654923,Call of Duty Advanced Warfare - Multiplayer,purchase,1
62654923,Call of Duty Advanced Warfare - Multiplayer,play,3.5
62654923,Call of Duty Modern Warfare 2 - Multiplayer,purchase,1
62654923,Call of Duty Modern Warfare 2 - Multiplayer,play,2.6
62654923,Portal,purchase,1
62654923,Portal,play,0.5
62654923,Aliens vs. Predator,purchase,1
62654923,Aliens vs. Predator,play,0.4
211760999,Football Manager 2015,purchase,1
211760999,Football Manager 2015,play,6.9
111316830,Dota 2,purchase,1
111316830,Dota 2,play,1395
111316830,Royal Quest,purchase,1
111316830,Royal Quest,play,25
111316830,Nancy Drew Shadow at the Water's Edge,purchase,1
111316830,Nancy Drew Shadow at the Water's Edge,play,12.3
111316830,Villagers and Heroes,purchase,1
